block_group,site_id,DestinationRank,TravelTime,Miles,Kilometers
132,33,43,44.96604988,19.93306303,32.07229842
132,34,13,21.19223171,8.408347204,13.52903065
132,35,11,28.87696237,7.773043783,12.50682745
132,36,34,42.52951264,14.4086418,23.18350466
132,37,45,54.46452546,20.85308824,33.55261898
132,38,36,42.57497205,16.38093626,26.35692644
132,39,30,26.9658455,12.9528094,20.84107033
132,40,5,20.17490552,5.544710444,8.921439104
132,41,19,28.93443338,10.22573,16.45319957
132,42,35,39.8708817,15.54289484,25.0085178
132,43,32,39.36874504,14.12167875,22.72178111
132,44,44,46.44311394,20.49111131,32.97019809
132,45,6,22.46365961,6.888428697,11.08348177
132,46,3,6.81225617,1.920523773,3.090122751
132,47,4,11.68370648,3.720436708,5.986182663
133,1,26,34.54727765,11.75995263,18.92176378
133,2,25,32.19290904,11.66522411,18.76934559
133,3,33,40.74161208,14.01657317,22.55266623
133,4,8,24.2875491,7.348010233,11.82294846
133,5,14,29.72935739,8.77711521,14.12237837
133,6,24,26.82848385,11.64727717,18.74046897
133,7,12,28.09655288,8.038769988,12.93438091
133,8,23,32.97439943,11.45279873,18.42755316
133,9,37,42.13023939,16.65964795,26.80537355
133,10,40,42.17589637,17.66898767,28.42940116
133,11,38,30.34548789,17.07486172,27.47345251
133,12,10,22.27456606,7.798370431,12.54757802
133,13,20,26.57422991,10.40531391,16.74215008
133,14,42,50.07604246,19.52398744,31.41409579
133,15,9,20.18928328,7.570150306,12.18037184
133,16,18,23.40799246,10.09680356,16.24575693
133,17,29,27.87945337,12.57379667,20.23123884
133,18,41,35.45873894,18.10504123,29.13101134
133,19,16,28.43852521,9.33217317,15.01546663
133,20,21,26.11875448,10.85126703,17.45968865
133,21,31,38.31544833,13.88203074,22.33618747
133,22,47,48.50865175,21.25312114,34.19627192
133,23,19,30.3695132,10.26586071,16.51776988
133,24,39,37.85984818,17.56332184,28.25938484
133,25,28,29.52284782,12.29629657,19.78474118
133,26,27,34.54727765,11.75995263,18.92176378
133,27,7,21.29893387,7.291984256,11.73280267
133,28,15,36.01180821,9.176771937,14.76542605
133,29,46,43.99430455,21.09828315,33.94713759
133,30,2,8.438308294,1.910964251,3.07474148
133,31,1,6.96674098,1.545122916,2.486102772
133,32,22,27.82152568,10.87368883,17.49576533
133,33,43,45.0203665,19.79088922,31.84354076
133,34,13,22.87258709,8.771163185,14.11280157
133,35,11,29.14918064,7.902798042,12.71560205
133,36,34,40.84055042,14.08103355,22.65638298
133,37,45,54.51884208,20.71091443,33.32386132
133,38,36,42.62928867,16.23876245,26.12816878
133,39,30,28.64620088,13.31562538,21.42484124
133,40,5,19.09812932,5.232851136,8.419657478
133,41,17,28.98874999,10.08355619,16.22444191
133,42,35,39.92519832,15.40072103,24.77976014
133,43,32,39.42306166,13.97950494,22.49302346
133,44,44,46.49743055,20.3489375,32.74144043
133,45,6,23.23455628,6.719584952,10.81181219
133,46,3,7.793962475,2.200761508,3.541025266
133,47,4,12.66541278,4.000674442,6.437085177
134,1,26,34.14995623,11.71637875,18.85165341
134,2,25,31.79558762,11.62165023,18.69923522
134,3,33,40.34429066,13.97299929,22.48255586
134,4,7,23.89022768,7.304436356,11.7528381
134,5,13,28.84374672,8.734115716,14.05319219
134,6,24,26.43116243,11.60370329,18.6703586
134,7,12,27.69923146,7.995196111,12.86427054
134,8,23,32.57707801,11.40922486,18.35744279
134,9,37,41.24462872,16.61664846,26.73618737
134,10,40,41.77857496,17.62541379,28.35929079
134,11,38,29.46643732,17.1044719,27.52109529
134,12,10,21.74987799,7.755499352,12.47859846
134,13,20,28.38525403,10.66342486,17.15745059
134,14,42,49.19043179,19.48098794,31.3449096
134,15,9,19.31023272,7.599760485,12.22801462
134,16,19,25.21901658,10.35491451,16.66105745
134,17,29,27.00040281,12.60340685,20.27888161
134,18,41,34.57968838,18.13465141,29.17865412
134,19,16,28.04120379,9.288599293,14.94535626
134,20,22,27.92977861,11.10937798,17.87498916
134,21,31,37.91812692,13.83845687,22.2660771
134,22,47,48.11133034,21.20954727,34.12616155
134,23,18,29.97219178,10.22228683,16.44765951
134,24,39,36.98079762,17.59293202,28.30702762
134,25,28,29.1255264,12.25272269,19.71463082
134,26,27,34.14995623,11.71637875,18.85165341
134,27,8,20.10761741,7.470221617,12.01958658
134,28,15,35.61448679,9.133198059,14.69531568
134,29,46,43.11525398,21.12789333,33.99478036
134,30,2,9.131735741,1.78981467,2.879811804
134,31,1,6.081130309,1.502123422,2.416916586
134,32,21,26.63020922,11.0519262,17.78254925
134,33,43,44.62304508,19.74731534,31.77343039
134,34,14,21.99353652,8.800773365,14.16044434
134,35,11,29.26358253,7.820691051,12.5834919
134,36,34,39.95493975,14.03803406,22.5871968
134,37,45,54.12152066,20.66734056,33.25375095
134,38,36,42.23196725,16.19518857,26.05805841
134,39,30,27.76715031,13.34523556,21.47248402
134,40,5,18.21251865,5.189851642,8.350471292
134,41,17,28.59142858,10.03998231,16.15433154
134,42,35,39.5278769,15.35714716,24.70964978
134,43,32,39.02574024,13.93593107,22.42291309
134,44,44,46.10010914,20.30536362,32.67133007
134,45,6,22.34894561,6.676585458,10.742626
134,46,3,9.604986598,2.458872456,3.956325781
134,47,4,14.47643691,4.25878539,6.852385693
135,1,26,36.05269403,12.55787697,20.20562405
135,2,25,33.69832541,12.46314845,20.05320586
135,3,34,42.24702846,14.81449751,23.8365265
135,4,11,23.24177462,8.164666991,13.13694919
135,5,20,34.26087334,10.7997939,17.37686838
135,6,24,28.33390022,12.44520151,20.02432923
135,7,16,30.43094805,9.84758408,15.84476278
135,8,23,34.4798158,12.25072308,19.71141343
135,9,35,35.61363194,15.18721178,24.43622375
135,10,42,43.68131275,18.46691201,29.71326142
135,11,38,30.98780915,17.14333349,27.58362359
135,12,8,19.90369474,6.976752305,11.22559446
135,13,14,23.44818404,9.439463755,15.18809718
135,14,40,43.55943501,18.05155126,29.04494598
135,15,9,20.83160454,7.638622073,12.29054292
135,16,13,20.28194658,9.13095341,14.69170404
135,17,29,28.52177464,12.64226843,20.34140991
135,18,41,36.10106021,18.173513,29.24118242
135,19,19,29.94394158,10.13009751,16.2993269
135,20,15,24.55676189,9.696922823,15.60234882
135,21,32,39.82086471,14.67995509,23.62004773
135,22,47,50.01406813,22.05104548,35.48013218
135,23,22,31.87492958,11.06378505,17.80163014
135,24,39,38.50216944,17.63179361,28.36955591
135,25,31,31.02826419,13.09422091,21.06860145
135,26,27,36.05269403,12.55787697,20.20562405
135,27,7,18.9607371,6.312397902,10.15664822
135,28,18,26.28889005,10.05577519,16.17974227
135,29,45,45.47150794,21.37066535,34.38540055
135,30,2,8.736045592,2.122564833,3.415206816
135,31,3,9.721006968,2.443693978,3.931903611
135,32,17,25.48332891,9.894102481,15.91961089
135,33,43,46.52578287,20.58881356,33.12740102
135,34,10,23.63556042,7.981843864,12.84278678
135,35,12,30.10141158,8.333517864,13.40863024
135,36,28,34.32394298,12.60859738,20.28723318
135,37,46,56.02425845,21.50883877,34.60772159
135,38,37,44.13470504,17.03668679,27.41202905
135,39,30,36.75894932,12.80415238,20.60188119
135,40,6,22.50796923,6.2147636,9.999554632
135,41,21,30.49416637,10.88148053,17.50830217
135,42,36,41.43061469,16.19864538,26.06362041
135,43,33,40.92847803,14.77742929,23.77688372
135,44,44,48.00284693,21.14686184,34.0253007
135,45,5,20.31932005,6.202816277,9.98033139
135,46,1,4.667916603,1.234911354,1.986972369
135,47,4,9.53936691,3.034824288,4.88303228
136,1,27,35.96228251,12.23233296,19.68182373
136,2,26,33.6079139,12.13760444,19.52940554
136,3,33,42.15661694,14.4889535,23.31272618
136,4,10,25.70255396,7.820390561,12.58300841
136,5,15,31.40816339,9.537891738,15.34646781
136,6,24,28.24348871,12.1196575,19.50052892
136,7,13,29.51155774,8.511150316,13.69444086
136,8,23,34.38940429,11.92517906,19.18761311
136,9,39,43.80904538,17.42042448,28.02946299
136,10,41,43.59090123,18.141368,29.1894611
136,11,36,28.59411234,16.62269093,26.74590971
